Total: 4706, Correct: 3828, Accuracy:0.813430
Details:
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\100_1_0_20170117195420803.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\100_1_0_20170119212053665.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\105_1_0_20170112213001988.jpg.chip.jpg', 'white', 'white', '>=80', 99.41563606262207)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170103200522151.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170103233459275.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170104013211746.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220033115.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220235233.jpg.chip.jpg', 'white', 'white', '>=80', 99.996018409729)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220447314.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220514186.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220530650.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110220546177.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110224402264.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225227587.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225246490.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225417177.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225421531.jpg.chip.jpg', 'white', 'white', '>=80', 99.93054866790771)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225528484.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170110225601897.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170116201337172.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170117143048181.jpg.chip.jpg', 'white', 'white', '>=80', 99.58654642105103)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_0_0_20170117175625724.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109203427416.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109203556029.jpg.chip.jpg', 'white', 'white', '>=80', 99.9998927116394)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109203608654.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109204148144.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109204244904.jpg.chip.jpg', 'white', 'others', '>=80', 99.95716214179993)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109204746535.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\10_1_0_20170109205003280.jpg.chip.jpg', 'white', 'asian', '>=80', 94.75758075714111)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\116_1_0_20170112213001988.jpg.chip.jpg', 'white', 'white', '>=80', 99.98165965080261)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\116_1_0_20170120134921760.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_0_0_20170103200509559.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_0_0_20170110224233654.jpg.chip.jpg', 'white', 'black', '>=80', 99.24324750900269)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_0_0_20170110224408700.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109203319557.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109203422194.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109204523092.jpg.chip.jpg', 'white', 'others', '>=80', 91.78799986839294)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109204546617.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109204614249.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109204927071.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109205122664.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109205214234.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\11_1_0_20170109205247087.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
